username,student_name,email,contact,dob,student_id,reference_id,aadhar_token,marks
gilbert_887,Gilbert Bartell,gilbert_887@gmail.com,9999999999,1997-10-01,171_gilbert_887,ref_171_gilbert_887,c08493edbc0896808ee390fa46ef3bae,124
queen_807,Queen Ernser,queen_807@gmail.com,9999999999,1997-05-05,267_queen_807,ref_267_queen_807,5cc6be00c4e6d003fa48d910b5161e92,212
missouri_899,Missouri Carroll,missouri_899@gmail.com,9999999999,1999-08-23,334_missouri_899,ref_334_missouri_899,d6fc502f3709b3c88a10576284c62676,235
justus_938,Justus DuBuque,justus_938@gmail.com,9999999999,1995-06-30,671_justus_938,ref_671_justus_938,bc22e1496ede26a4c168c51afed0ccc2,87
arjun_399,Arjun Swaniawski,arjun_399@gmail.com,9999999999,1996-10-31,385_arjun_399,ref_385_arjun_399,2740f8c3f7b87e872cc302f851926044,92
dario_153,Dario Schaden,dario_153@gmail.com,9999999999,2005-04-03,110_dario_153,ref_110_dario_153,6e81895bb20fec6989c8be5cb57b1133,270
jaylon_82,Jaylon Kautzer,jaylon_82@gmail.com,9999999999,1997-08-29,988_jaylon_82,ref_988_jaylon_82,1bd5c4c4d76a95a97abdf4515f8f448f,17
chelsie_60,Chelsie Zieme,chelsie_60@gmail.com,9999999999,2002-01-23,793_chelsie_60,ref_793_chelsie_60,b7749f125917606911508fe12b71afef,259
kadin_891,Kadin Beatty,kadin_891@gmail.com,9999999999,1992-03-15,543_kadin_891,ref_543_kadin_891,b6c69f49858ab5dba48157bceb3d7963,194
niko_299,Niko Hammes,niko_299@gmail.com,9999999999,2004-08-27,317_niko_299,ref_317_niko_299,f7579724b175b3127c790013a3dafbd6,255
