username,student_name,email,contact,dob,student_id,reference_id,aadhar_token,marks
deja_224,Deja Hermiston,deja_224@gmail.com,9999999999,2002-05-11,39_deja_224,ref_39_deja_224,8a00d2169324424d84e2628cba2ecfcd,190
walter_925,Walter Ondricka,walter_925@gmail.com,9999999999,1993-08-12,122_walter_925,ref_122_walter_925,9f0cd530c39c425a6852bf9abc3aac5b,8
lonnie_130,Lonnie Gleason,lonnie_130@gmail.com,9999999999,1993-10-08,796_lonnie_130,ref_796_lonnie_130,c2396d4e0e938b16dc5e60fcb00ae26c,188
malachi_111,Malachi Abbott,malachi_111@gmail.com,9999999999,1997-06-26,284_malachi_111,ref_284_malachi_111,63d702346850de35339f25bbbdded3be,39
lizeth_105,Lizeth Auer,lizeth_105@gmail.com,9999999999,2000-06-22,515_lizeth_105,ref_515_lizeth_105,3c560679d1e6c109899b80a27ef311cd,286
mona_468,Mona Prosacco,mona_468@gmail.com,9999999999,1991-07-22,838_mona_468,ref_838_mona_468,1365b015415431e194282ce7be4e2998,117
logan_613,Logan Schultz,logan_613@gmail.com,9999999999,1999-03-24,816_logan_613,ref_816_logan_613,e26a0ba0b38ed0a679ad30c0aff5a5ff,165
diana_110,Diana McLaughlin,diana_110@gmail.com,9999999999,2005-08-19,985_diana_110,ref_985_diana_110,37780a5a63f7267d5b647c8261bfcea2,75
brandy_848,Brandy Kreiger,brandy_848@gmail.com,9999999999,1991-06-21,521_brandy_848,ref_521_brandy_848,82c145dc102f00f54d493cd358a5ee9c,133
era_936,Era Cole,era_936@gmail.com,9999999999,1994-03-01,943_era_936,ref_943_era_936,3813c0a9c3a1f45ac95afb310864c514,50
