username,student_name,email,contact,dob,student_id,reference_id,aadhar_token,marks
elvie_96,Elvie Runte,elvie_96@gmail.com,9999999999,2000-10-22,696_elvie_96,ref_696_elvie_96,7049e940b5c6be84bee7893e37a9df13,82
zella_225,Zella Kessler,zella_225@gmail.com,9999999999,2002-07-27,861_zella_225,ref_861_zella_225,26da70a091e87376165da6ef84ca6f58,216
lauretta_470,Lauretta Kuphal,lauretta_470@gmail.com,9999999999,2004-06-12,291_lauretta_470,ref_291_lauretta_470,af516266613c00f07bcd1e934e405f0f,58
meda_467,Meda Lesch,meda_467@gmail.com,9999999999,1991-03-11,658_meda_467,ref_658_meda_467,f1052326b90968706759b0783db46051,65
dawson_335,Dawson Monahan,dawson_335@gmail.com,9999999999,1994-07-24,933_dawson_335,ref_933_dawson_335,97e65c3e52cb75e1fb2f41ba663f34cc,273
erling_893,Erling Cremin,erling_893@gmail.com,9999999999,1996-09-28,261_erling_893,ref_261_erling_893,2b8f2de2fee7afed9eb0f7e20eda5566,38
ellie_30,Ellie Kuvalis,ellie_30@gmail.com,9999999999,1993-11-15,340_ellie_30,ref_340_ellie_30,f0032c0dd8a733a3912fc404a46ee090,208
garret_86,Garret Rodriguez,garret_86@gmail.com,9999999999,2002-03-28,761_garret_86,ref_761_garret_86,233b46391b01b7213567600778200a5d,221
maverick_138,Maverick McKenzie,maverick_138@gmail.com,9999999999,1994-07-20,653_maverick_138,ref_653_maverick_138,ae8d178de983bc2834cd058c671e3794,135
tyshawn_248,Tyshawn O'Connell-Haley,tyshawn_248@gmail.com,9999999999,1999-09-24,589_tyshawn_248,ref_589_tyshawn_248,46dea1b8e082f3c6afc57c30b2a32212,183
