username,student_name,email,contact,student_id,reference_id,guardian_name,enrolled_on,aadhar_token,dob
deja_224,Deja Hermiston,deja_224@gmail.com,9999999999,39_deja_224,ref_39_deja_224,Kristy Effertz,2020-05-04,8a00d2169324424d84e2628cba2ecfcd,2002-05-11
walter_925,Walter Ondricka,walter_925@gmail.com,9999999999,122_walter_925,ref_122_walter_925,Ashtyn Fadel,2022-02-04,9f0cd530c39c425a6852bf9abc3aac5b,1993-08-12
lonnie_130,Lonnie Gleason,lonnie_130@gmail.com,9999999999,796_lonnie_130,ref_796_lonnie_130,Madyson Gerhold,2021-04-01,c2396d4e0e938b16dc5e60fcb00ae26c,1993-10-08
malachi_111,Malachi Abbott,malachi_111@gmail.com,9999999999,284_malachi_111,ref_284_malachi_111,Domenico Macejkovic,2021-09-21,63d702346850de35339f25bbbdded3be,1997-06-26
lizeth_105,Lizeth Auer,lizeth_105@gmail.com,9999999999,515_lizeth_105,ref_515_lizeth_105,Elaina D'Amore,2022-05-29,3c560679d1e6c109899b80a27ef311cd,2000-06-22
mona_468,Mona Prosacco,mona_468@gmail.com,9999999999,838_mona_468,ref_838_mona_468,Veda Klocko,2021-12-19,1365b015415431e194282ce7be4e2998,1991-07-22
logan_613,Logan Schultz,logan_613@gmail.com,9999999999,816_logan_613,ref_816_logan_613,Everette Mills,2020-12-12,e26a0ba0b38ed0a679ad30c0aff5a5ff,1999-03-24
diana_110,Diana McLaughlin,diana_110@gmail.com,9999999999,985_diana_110,ref_985_diana_110,Jayce Wyman,2020-04-06,37780a5a63f7267d5b647c8261bfcea2,2005-08-19
brandy_848,Brandy Kreiger,brandy_848@gmail.com,9999999999,521_brandy_848,ref_521_brandy_848,Savannah Wisoky,2021-04-08,82c145dc102f00f54d493cd358a5ee9c,1991-06-21
era_936,Era Cole,era_936@gmail.com,9999999999,943_era_936,ref_943_era_936,Kenton King,2020-12-14,3813c0a9c3a1f45ac95afb310864c514,1994-03-01
