username,student_name,email,contact,student_id,reference_id,guardian_name,enrolled_on,aadhar_token,dob
gilbert_887,Gilbert Bartell,gilbert_887@gmail.com,9999999999,171_gilbert_887,ref_171_gilbert_887,Marquise Harris,2021-08-24,c08493edbc0896808ee390fa46ef3bae,1997-10-01
queen_807,Queen Ernser,queen_807@gmail.com,9999999999,267_queen_807,ref_267_queen_807,Velva Huel,2020-12-08,5cc6be00c4e6d003fa48d910b5161e92,1997-05-05
missouri_899,Missouri Carroll,missouri_899@gmail.com,9999999999,334_missouri_899,ref_334_missouri_899,Dashawn Weimann,2022-06-09,d6fc502f3709b3c88a10576284c62676,1999-08-23
justus_938,Justus DuBuque,justus_938@gmail.com,9999999999,671_justus_938,ref_671_justus_938,Kamron Schimmel,2021-03-27,bc22e1496ede26a4c168c51afed0ccc2,1995-06-30
arjun_399,Arjun Swaniawski,arjun_399@gmail.com,9999999999,385_arjun_399,ref_385_arjun_399,Jeremy Breitenberg,2021-09-02,2740f8c3f7b87e872cc302f851926044,1996-10-31
dario_153,Dario Schaden,dario_153@gmail.com,9999999999,110_dario_153,ref_110_dario_153,Vella Sanford,2020-11-10,6e81895bb20fec6989c8be5cb57b1133,2005-04-03
jaylon_82,Jaylon Kautzer,jaylon_82@gmail.com,9999999999,988_jaylon_82,ref_988_jaylon_82,Mortimer Sawayn,2020-11-05,1bd5c4c4d76a95a97abdf4515f8f448f,1997-08-29
chelsie_60,Chelsie Zieme,chelsie_60@gmail.com,9999999999,793_chelsie_60,ref_793_chelsie_60,Earnestine Farrell,2021-11-14,b7749f125917606911508fe12b71afef,2002-01-23
kadin_891,Kadin Beatty,kadin_891@gmail.com,9999999999,543_kadin_891,ref_543_kadin_891,Lonzo Dibbert,2021-07-22,b6c69f49858ab5dba48157bceb3d7963,1992-03-15
niko_299,Niko Hammes,niko_299@gmail.com,9999999999,317_niko_299,ref_317_niko_299,Max Huels,2020-08-06,f7579724b175b3127c790013a3dafbd6,2004-08-27
